id,x,y,z
21,0.07816854119,-2.803366899,0.0009537650039
22,0.01591101103,-2.318764687,-0.001791866962
23,-0.04394178092,2.749711514,0.04512957484
24,0.09078839421,3.271123171,0.01716237143
25,0.033868823199999995,-1.790575504,0.01286849193
26,0.04622162879,-1.281439781,0.005182329564999999
27,0.06648340076,-0.8487614989,-0.001153674675
28,0.06915573031000001,-0.36757257579999997,0.0010958716740000001
29,0.05227049813,0.0347668156,2.3692311519999998e-05
210,0.03759115189,0.6987864971,0.005058716517
211,0.005836847238,1.060009599,0.0013407355869999998
212,0.5310275554999999,-2.8691117760000004,0.016818799080000002
213,0.501460731,-2.259472132,0.01772472821
214,0.3962834775,2.116264105,0.04215091839
215,0.3950212896,2.662917376,0.05542723835
216,0.3292316198,3.162970543,0.04775371403
217,0.4324606061,-1.7335779669999998,0.024876890699999998
218,0.49921074509999996,-1.41458571,0.02345329337
219,0.47417062520000003,-0.8341811298999999,0.020231781530000003
220,0.4984275103,-0.30558502670000004,0.01952296309
221,0.4595578015,0.04985062778,0.020821465180000002
222,0.4964792132,0.6150103807,0.01996064931
223,0.4570678771,1.230204701,0.01372595504
224,0.5201554894,1.4816527369999999,0.03559587896
225,5.130113125,-2.249889135,0.0251381807
226,5.1551256180000005,-1.601065636,0.021658604959999998
227,5.079246998,2.7644753460000002,0.050328489389999995
228,5.153394699,-1.073059201,0.020998023450000004
229,5.154350281,-0.6801531315,0.02009893022
230,5.153567791,-0.1857997775,0.01830353215
231,5.147544861,0.2993268073,0.021507531400000002
232,5.136834145,0.7003070712,0.02281074412
233,5.134492397,1.299161673,0.0209418647
234,5.138602257,1.8744019269999999,0.01707854494
235,5.092672348,2.221207142,0.03793527931
236,5.475969791,-2.2521691319999997,0.02353922836
237,5.472741127000001,-1.6785758730000002,0.02098613232
238,5.441266537000001,2.666302919,0.04089289904
239,5.388251305,3.081442356,0.04182292894
240,5.457386971,-1.406328559,0.02110444568
241,5.470143318,-0.8238921762,0.01912365668
242,5.470879555,-0.36164936420000005,0.01838814467
243,5.458260536,0.060773409900000006,0.018071424219999997
244,5.465609074,0.5793467760000001,0.01938387007
245,5.469724655,1.139612317,0.01624653116
246,5.479491234,1.478694201,0.027544179930000003
247,5.4999008179999995,2.116546631,0.02826348506
248,5.983759403,-2.289387226,0.02334491909
249,5.975211142999999,-1.8641717430000002,0.02515189908
250,5.982739448999999,2.5958428380000003,0.03328699619
251,5.971485137999999,3.11430335,0.02232990041
252,5.960519314,-1.483780265,0.02097993344
253,5.968426704,-0.8996752501,0.020581318069999997
254,5.981543063999999,-0.419901222,0.01861780323
255,5.97422123,0.04515134916,0.02011968754
256,5.996110439,0.5776298046,0.01977576502
257,5.980083942,1.25411129,0.016070472080000002
